Rank,Abbreviated Journal Title,ISSN,2014 Total Cites,Impact Factor,5-Year Impact Factor,Immediacy Index,2014 Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
185,DEV CELL,1534-5807,23646,9.708,12.437,1.936,220,6.3,0.0908,6.633
186,P NATL ACAD SCI USA,0027-8424,586144,9.674,10.563,1.967,3579,8.4,1.41892,4.73
187,NAT PROTOC,1754-2189,24589,9.673,13.469,1.487,197,6.1,0.08345,6.054
188,BIOL REV,1464-7931,7868,9.67,11.199,2.585,53,8.8,0.0165,4.489
189,LANCET RESP MED,2213-2600,925,9.629,9.661,4.681,69,1.2,0.00391,3.967
190,ANNU REV PHYTOPATHOL,0066-4286,6346,9.62,14.284,0.68,25,>10.0,0.00835,4.524
191,BRIEF BIOINFORM,1467-5463,3679,9.617,7.017,1.123,81,5,0.01296,2.818
192,J PINEAL RES,0742-3098,6906,9.6,7.227,1.862,87,5.9,0.00818,1.119
193,CURR BIOL,0960-9822,48575,9.571,10.134,2.192,440,7.3,0.14434,4.988
194,CSH PERSPECT MED,2157-1422,2588,9.469,9.808,0.821,106,2.4,0.01616,3.981
195,TRENDS MOL MED,1471-4914,7186,9.453,9.931,1.714,70,6,0.01948,3.497
196,TRENDS ENDOCRIN MET,1043-2760,6457,9.392,9.174,2.235,68,5.5,0.01932,3.353
197,J AM SOC NEPHROL,1046-6673,32059,9.343,9.621,2.108,260,8.3,0.05942,3.376
198,PLOS BIOL,1545-7885,25729,9.343,11.896,1.872,187,6.4,0.09309,6.209
199,PLANT CELL,1040-4651,46901,9.338,10.529,1.711,311,8.6,0.08098,3.473
200,SEMIN CANCER BIOL,1044-579X,5094,9.33,8.105,3.039,51,6.7,0.01098,2.695
201,CANCER RES,0008-5472,142659,9.329,9.115,1.406,679,9.1,0.21177,3.122
202,ELIFE,2050-084X,3179,9.322,9.325,1.453,547,1.4,0.0249,6.136
203,ACS CATAL,2155-5435,9046,9.312,9.174,1.551,521,2.2,0.0326,2.283
204,ISME J,1751-7362,10314,9.302,9.438,2.149,215,3.4,0.04585,3.281
205,CHEM SCI,2041-6520,14941,9.211,9.203,2.707,604,2.2,0.06822,2.974
206,BRAIN,0006-8950,44379,9.196,10.418,2.422,244,8.5,0.085,3.842
207,PSYCHOTHER PSYCHOSOM,0033-3190,2866,9.196,6.918,1.667,27,7.7,0.00551,2.192
208,TRENDS MICROBIOL,0966-842X,9285,9.186,9.017,2.315,73,8.2,0.01937,3.353
209,LANCET DIABETES ENDO,2213-8587,710,9.185,9.185,5.882,76,0.7,0.00164,3.808
210,NAT REV CARDIOL,1759-5002,2647,9.183,9.761,2.019,52,3.4,0.01584,3.843
211,INT J EPIDEMIOL,0300-5771,16999,9.176,8.615,2.331,160,8.4,0.04059,3.728
212,DRUG RESIST UPDATE,1368-7646,2178,9.121,9.312,0.4,10,7.3,0.00439,2.963
213,NUCLEIC ACIDS RES,0305-1048,136883,9.112,8.867,2.326,1532,7.4,0.34417,3.491
214,MOL BIOL EVOL,0737-4038,37529,9.105,11.667,1.749,275,7.1,0.09456,4.44
215,EMBO REP,1469-221X,11419,9.055,8.043,2.274,106,6.8,0.03578,3.823
216,PHYS REV X,2160-3308,2364,9.043,9.055,2.556,216,1.8,0.01984,6.233
217,BIOTECHNOL ADV,0734-9750,10390,9.015,11.885,1.604,111,5.1,0.02559,2.972
218,ANNU REV GENOM HUM G,1527-8204,2516,8.957,10.66,0.864,22,6.3,0.00862,5.112
219,CLIN INFECT DIS,1058-4838,51710,8.886,9.206,2.596,468,7,0.12691,3.556
220,ANNU REV ANAL CHEM,1936-1327,1478,8.833,9.51,0.417,24,4.7,0.00478,2.888
221,NEUROSCI BIOBEHAV R,0149-7634,16868,8.802,10.528,1.657,198,6.4,0.04128,3.592
222,IEEE T FUZZY SYST,1063-6706,8581,8.746,7.881,0.993,139,6.7,0.01282,1.657
223,PROG RETIN EYE RES,1350-9462,4326,8.733,10.439,1.828,29,7.6,0.0091,3.687
224,CLIN CANCER RES,1078-0432,72155,8.722,8.531,1.854,609,6.6,0.16148,2.821
225,CSH PERSPECT BIOL,1943-0264,7817,8.679,11.319,1.615,122,3.5,0.05788,5.403
226,ANNU REV CHEM BIOMOL,1947-5438,852,8.676,11,0.962,26,3.4,0.00462,3.868
227,CEREB CORTEX,1047-3211,26191,8.665,8.335,2.043,282,6.7,0.06937,3.287
228,EMBO MOL MED,1757-4676,3363,8.665,9.315,2.121,107,2.5,0.01964,3.673
229,ANNU REV EARTH PL SC,0084-6597,5801,8.582,9.95,1.133,30,>10.0,0.01204,6.305
230,PHYS DARK UNIVERSE,2212-6864,324,8.571,8.571,0.767,30,1.8,0.00228,4.088
231,KIDNEY INT,0085-2538,37913,8.563,7.891,2.812,245,9.5,0.05526,2.699
232,BIOMATERIALS,0142-9612,93432,8.557,9.305,1.711,948,6.3,0.14872,2.001
233,NAT REV NEPHROL,1759-5061,2345,8.542,7.789,1.623,53,3.1,0.01271,2.763
234,SLEEP MED REV,1087-0792,3919,8.513,9.258,2.062,48,6.6,0.0096,3.242
235,INT MATER REV,0950-6608,2949,8.5,10.62,1.263,19,>10.0,0.00408,3.61
236,CATAL REV,0161-4940,2986,8.471,10.35,0.636,11,>10.0,0.00179,2.819
237,CURR OPIN CELL BIOL,0955-0674,13844,8.467,10.118,1.755,94,7.8,0.03849,4.615
238,ONCOGENE,0950-9232,64071,8.459,7.632,1.963,572,8.4,0.10375,2.624
239,SCHIZOPHRENIA BULL,0586-7614,13525,8.45,8.686,1.859,177,6.7,0.02809,2.678
240,MED RES REV,0198-6325,3542,8.431,8.226,2.846,39,7.8,0.00496,2.133
241,DIABETES CARE,0149-5992,56103,8.42,8.569,2.741,428,7.4,0.11468,2.785
242,J AUTOIMMUN,0896-8411,4722,8.41,6.33,1.84,106,4.4,0.01159,1.6
243,SMALL,1613-6810,26638,8.368,8.646,1.704,581,4.3,0.07682,2.252
244,ANNU REV NUTR,0199-9885,4699,8.359,9.66,0.5,18,>10.0,0.00496,3.314
245,CELL REP,2211-1247,6886,8.358,8.361,1.313,671,1.7,0.05658,4.958
246,CHEM MATER,0897-4756,86283,8.354,9.21,2.078,841,7.3,0.1215,2.199
247,ANN SURG,0003-4932,41468,8.327,8.844,1.592,299,9.2,0.07481,3.222
248,THORAX,0040-6376,19426,8.29,8.046,2.473,146,8.7,0.03585,2.808
249,NEUROLOGY,0028-3878,76539,8.286,8.352,1.789,545,9.9,0.12263,2.99
250,FISH FISH,1467-2960,2526,8.258,8.083,2.027,37,6.1,0.00678,2.957
251,GONDWANA RES,1342-937X,7772,8.235,7.952,3.145,172,3.5,0.022,2.16
252,CELL DEATH DIFFER,1350-9047,16082,8.184,8.461,2.134,172,6.4,0.04078,3.021
253,GEOCHEM PERSPECT,2223-7755,60,8.143,8.286,2,1,,0.00043,3.879
254,DIABETES,0012-1797,49747,8.095,8.443,2.486,358,8.8,0.08818,3.039
255,GLOBAL CHANGE BIOL,1354-1013,25578,8.044,8.708,1.575,308,6.1,0.07007,3.16
256,THERANOSTICS,1838-7640,1850,8.022,8.005,1.779,95,2.2,0.00599,1.793
257,GREEN CHEM,1463-9262,24614,8.02,8.294,2.242,516,4.1,0.04747,1.564
258,LASER PHOTONICS REV,1863-8880,2793,8.008,8.532,1.967,92,3.4,0.01312,3.272
259,OBES REV,1467-7881,7580,7.995,8.532,2.01,105,4.7,0.02333,2.858
260,BRIT J PSYCHIAT,0007-1250,22557,7.991,8.196,1.905,116,>10.0,0.02984,2.875
261,BMC BIOL,1741-7007,3676,7.984,7.21,0.989,87,4.5,0.017,2.991
262,ENVIRON HEALTH PERSP,0091-6765,34489,7.977,8.44,2.124,185,8.6,0.05499,2.603
263,PSYCHOL REV,0033-295X,24097,7.972,11.398,1.192,26,>10.0,0.01719,5.808
264,AUTOIMMUN REV,1568-9972,6156,7.933,5.959,2.976,169,3.5,0.01531,1.403
265,CLIN CHEM,0009-9147,26550,7.911,8.144,2.015,130,>10.0,0.03487,2.538
266,CLIN PHARMACOL THER,0009-9236,15257,7.903,6.844,2.469,130,7.2,0.02979,2.117
267,CLIN GASTROENTEROL H,1542-3565,11534,7.896,7.394,2.381,236,5,0.03597,2.672
268,EARTH-SCI REV,0012-8252,8594,7.885,9.665,1.443,122,7.6,0.0215,3.871
269,CURR OPIN PLANT BIOL,1369-5266,11125,7.848,9.203,1.124,113,7.1,0.02511,3.168
270,BBA-REV CANCER,0304-419X,3964,7.845,8.811,1.512,82,5.3,0.01038,2.683
271,Q REV BIOPHYS,0033-5835,2345,7.81,10.255,0.778,9,>10.0,0.0044,5.03
272,ADV COLLOID INTERFAC,0001-8686,8997,7.776,10.421,1.757,152,8.6,0.01335,2.825
273,ARTHRITIS RHEUM-US,0004-3591,46886,7.764,7.76,,0,8.9,0.08026,2.613
274,SEMIN IMMUNOPATHOL,1863-2297,2008,7.748,7.047,1.133,45,3.4,0.00915,2.477
275,CRIT REV BIOCHEM MOL,1040-9238,3088,7.714,7.086,1.481,27,8.7,0.00782,3.254
276,MASS SPECTROM REV,0277-7037,3572,7.709,7.764,2.44,25,7.4,0.00665,2.347
277,J CONTROL RELEASE,0168-3659,35437,7.705,8.097,1.138,443,7,0.05238,1.784
278,NEW PHYTOL,0028-646X,33918,7.672,7.837,1.718,440,7.2,0.07185,2.594
279,CHEMSUSCHEM,1864-5631,10725,7.657,8.653,1.395,410,3.2,0.03302,1.983
280,EUR RESPIR J,0903-1936,28687,7.636,6.862,2.748,246,7.8,0.05307,2.152
