Rank,Abbreviated Journal Title,ISSN,Total Cites,Impact Factor,5-Year Impactor Factor,Immediacy Index,Articles,Cited Half-life,EigenfactorTM Score,Article InfluenceTM Score
38,ACM T MODEL COMPUT S,1049-3301,493,1.114,1.367,0.292,24,>10.0,0.00099,0.551
39,ACM T MULTIM COMPUT,1551-6857,223,0.85,1.673,0.286,35,4.2,0.00168,0.829
40,ACM T PROGR LANG SYS,0164-0925,1234,0.95,1.408,0.158,19,>10.0,0.00235,0.903
41,ACM T RECONFIG TECHN,1936-7406,53,0.65,,0,28,,0.0002,
42,ACM T SENSOR NETWORK,1550-4859,567,1.808,2.923,0.111,18,4.2,0.00398,1.282
43,ACM T SOFTW ENG METH,1049-331X,524,1.269,2.411,0.222,18,8.8,0.0014,1.047
44,ACM T WEB,1559-1131,153,0.871,2.381,0.1,20,3.9,0.00154,1.331
45,ACOUST AUST,0814-6039,28,0.182,,0,14,,0.00007,
46,ACOUST PHYS+,1063-7710,614,0.7,0.615,0.086,105,5.3,0.00143,0.142
47,ACS APPL MATER INTER,1944-8244,4646,4.525,4.54,0.713,666,1.9,0.02144,1.274
48,ACS CATAL,2155-5435,184,,,0.892,204,0.5,0.00001,
49,ACS CHEM BIOL,1554-8929,2681,6.446,5.976,1.082,146,2.9,0.01851,2.399
50,ACS CHEM NEUROSCI,1948-7193,310,3.676,3.676,0.696,69,1.4,0.00158,1.214
51,ACS COMB SCI,2156-8952,81,,,0.852,88,,0.00006,
52,ACS MED CHEM LETT,1948-5875,511,3.355,3.355,0.793,179,1.3,0.00205,1.044
53,ACS NANO,1936-0851,22409,10.774,11.171,1.631,1141,2,0.12069,3.584
54,ACSMS HEALTH FIT J,1091-5397,56,0.404,0.315,0.103,29,,0.0001,0.041
55,ACTA ACUST UNITED AC,1610-1928,1576,0.569,0.714,0.137,102,>10.0,0.00379,0.382
56,ACTA ADRIAT,0001-5113,250,0.5,,0.083,24,>10.0,0.00041,
57,ACTA AGR SCAND A-AN,0906-4702,409,0.729,0.696,0,20,>10.0,0.00053,0.21
58,ACTA AGR SCAND B-S P,0906-4710,473,0.699,0.771,0.176,91,6.4,0.00098,0.194
59,ACTA ALIMENT HUNG,0139-3006,362,0.444,0.6,0.056,71,7.1,0.00048,0.11
60,ACTA ANAESTH SCAND,0001-5172,5364,2.188,2.032,0.58,157,8.1,0.01047,0.605
61,ACTA APPL MATH,0167-8019,1017,0.899,0.787,0.143,70,8.2,0.00493,0.503
62,ACTA ARITH,0065-1036,1135,0.435,0.484,0.14,114,>10.0,0.00593,0.546
63,ACTA ASTRONAUT,0094-5765,1852,0.614,0.619,0.207,338,6.6,0.00539,0.226
64,ACTA ASTRONOM,0001-5237,972,1.68,2.2,0.524,21,9.5,0.00227,0.989
65,ACTA BIOCH BIOPH SIN,1672-9145,1335,1.376,1.474,0.331,121,4.3,0.00433,0.39
66,ACTA BIOCHIM POL,0001-527X,1917,1.491,1.595,0.159,88,7.3,0.00351,0.42
67,ACTA BIOENG BIOMECH,1509-409X,93,0.449,,0.14,43,,0.0003,
68,ACTA BIOETH,0717-5906,15,0,,,,,0.00004,
69,ACTA BIOL CRACOV BOT,0001-5296,262,0.565,0.796,0,19,6.3,0.00049,0.182
70,ACTA BIOL HUNG,0236-5383,427,0.593,0.625,0.022,46,7.6,0.00071,0.137
71,ACTA BIOMATER,1742-7061,7495,4.865,5.076,1.037,454,2.5,0.03116,1.313
72,ACTA BIOQUIM CLIN L,0325-2957,34,0.075,0.105,,,,0.00009,0.021
73,ACTA BIOTHEOR,0001-5342,488,1.468,1.525,0.062,16,>10.0,0.00104,0.573
74,ACTA BOT BRAS,0102-3306,997,0.462,,0.03,100,6.8,0.00161,
75,ACTA BOT CROAT,0365-0588,191,0.702,,0.208,24,6.6,0.00032,
76,ACTA BOT GALLICA,1253-8078,168,0.383,0.332,0.02,51,6.4,0.0002,0.047
77,ACTA BOT MEX,0187-7151,157,0.204,,0.069,29,>10.0,0.00023,
78,ACTA CARDIOL,0001-5385,710,0.605,0.604,0.041,121,6.5,0.00154,0.159
79,ACTA CARDIOL SIN,1011-6842,102,0.633,,0.19,42,2.7,0.00013,
80,ACTA CARSOLOGICA,0583-6050,255,0.727,0.736,0.1,30,6.4,0.00069,0.235
81,ACTA CHIM SINICA,0567-7351,2291,0.533,0.531,0.041,461,5.6,0.00281,0.067
82,ACTA CHIM SLOV,1318-0207,1116,1.328,1.278,0.109,119,4.1,0.00299,0.261
83,ACTA CHIR BELG,0001-5458,807,0.432,0.48,0.022,90,6.2,0.00205,0.14
84,ACTA CHIROPTEROL,1508-1109,471,1.116,1.253,0.093,43,5.3,0.00149,0.366
85,ACTA CHROMATOGR,1233-2356,302,0.76,0.942,0.118,51,4.1,0.00092,0.208
86,ACTA CIR BRAS,0102-8650,550,0.584,,0.108,111,4.9,0.00125,
87,ACTA CLIN BELG,0001-5512,522,0.592,0.836,0.127,79,4.8,0.00182,0.263
88,ACTA CLIN CROAT,0353-9466,126,0.254,,0,60,4.3,0.00032,
89,ACTA CRYSTALLOGR A,0108-7673,15812,2.076,30.646,0.721,61,3.9,0.05044,9.532
90,ACTA CRYSTALLOGR B,0108-7681,9706,2.286,2.004,0.37,54,>10.0,0.00777,0.888
91,ACTA CRYSTALLOGR C,0108-2701,5038,0.518,0.437,0.324,216,>10.0,0.00411,0.122
92,ACTA CRYSTALLOGR D,0907-4449,12770,12.619,7.038,3.347,124,6.9,0.05387,3.707
93,ACTA CRYSTALLOGR E,1600-5368,8825,0.347,0.278,0.293,4433,3.3,0.01336,0.035
94,ACTA CRYSTALLOGR F,1744-3091,931,0.506,0.458,0.233,377,3.2,0.00534,0.181
95,ACTA CYTOL,0001-5547,2112,0.488,0.608,0.337,92,>10.0,0.00204,0.168
96,ACTA DERM-VENEREOL,0001-5555,3834,3.176,3.223,0.551,78,>10.0,0.00603,0.917
97,ACTA DERMATOVENER CR,1330-027X,124,0.36,,0,37,4.8,0.00034,
98,ACTA DIABETOL,0940-5429,1154,2.784,2.27,0.909,44,6.5,0.00216,0.52
99,ACTA ENDOCRINOL-BUCH,1841-0987,40,0.183,,0.083,60,,0.00004,
100,ACTA ENDOSC,0240-642X,46,0.088,0.068,0.077,39,,0.00006,0.011
101,ACTA ENT MUS NAT PRA,0374-1036,175,0.721,,0.263,38,4.2,0.00036,
102,ACTA ETHOL,0873-9749,198,1.353,1.187,0.059,17,7,0.00059,0.428
103,ACTA GASTRO-ENT BELG,0001-5644,428,0.638,0.727,0.111,63,6.3,0.00099,0.202
104,ACTA GEOD GEOPHYS HU,1217-8977,101,0.346,,0.032,31,4.6,0.00027,
105,ACTA GEODYN GEOMATER,1214-9705,109,0.53,,0.025,40,3.5,0.00038,
106,ACTA GEOGR SLOV,1581-6613,72,1.333,0.929,0.316,19,,0.00004,0.04
107,ACTA GEOL POL,0001-5709,480,0.565,0.776,0.125,24,>10.0,0.00071,0.263
108,ACTA GEOL SIN-ENGL,1000-9515,1683,1.25,1.252,0.106,132,6.8,0.00276,0.26
109,ACTA GEOPHYS,1895-6572,278,0.617,0.667,0.492,61,3.5,0.00124,0.259
110,ACTA GEOTECH,1861-1125,137,0.811,,0.1,20,3.8,0.00136,
111,ACTA GEOTECH SLOV,1854-0171,6,0.1,,0.091,11,,0.00003,
112,ACTA HAEMATOL-BASEL,0001-5792,1552,1.354,1.182,0.259,81,9.2,0.00297,0.367
113,ACTA HERPETOL,1827-9635,76,0.56,,0.032,31,,0.00029,
114,ACTA HISTOCHEM,0065-1281,1013,1.829,1.639,0.395,119,5.7,0.00213,0.388
115,ACTA HISTOCHEM CYTOC,0044-5991,295,1.106,1.4,0.133,30,5.6,0.00068,0.339
116,ACTA ICHTHYOL PISCAT,0137-1592,191,0.547,,0.068,44,7.6,0.00032,
117,ACTA INFORM,0001-5903,506,0.444,0.512,0,19,>10.0,0.00113,0.498
118,ACTA MATER,1359-6454,30282,3.755,4.226,0.838,745,6.7,0.09632,1.705
119,ACTA MATH APPL SIN-E,0168-9673,413,0.289,,0.145,69,9,0.00152,
120,ACTA MATH HUNG,0236-5294,1053,0.456,0.481,0.066,106,>10.0,0.00351,0.363
121,ACTA MATH SCI,0252-9602,438,0.357,0.403,0.069,203,5.4,0.00209,0.196
122,ACTA MATH SIN,1439-8516,1185,0.47,0.6,0.094,191,5.9,0.00639,0.356
123,ACTA MATH-DJURSHOLM,0001-5962,2742,3.333,4.036,0.467,15,>10.0,0.00623,6.057
124,ACTA MECH,0001-5970,2401,1.292,1.213,0.209,177,>10.0,0.00551,0.495
125,ACTA MECH SINICA-PRC,0567-7718,582,0.86,0.865,0.057,122,4.8,0.00233,0.306
126,ACTA MECH SOLIDA SIN,0894-9166,326,0.766,0.722,0.163,49,4.4,0.00109,0.211
127,ACTA MED OKAYAMA,0386-300X,512,0.657,0.778,0.018,56,7.6,0.00095,0.202
128,ACTA MEDICA MEDITERR,0393-6384,5,0.031,,0,19,,0,
129,ACTA MEDICA PORT,1646-0758,208,0.091,,0.009,115,7.1,0.00038,
130,ACTA METALL SIN,0412-1961,1074,0.464,0.442,0.077,247,5.8,0.00215,0.097
131,ACTA METALL SIN-ENGL,1006-7191,205,0.407,,0,60,4,0.00089,
132,ACTA METEOROL SIN,0894-0525,793,0.534,,0.125,56,8.1,0.00155,
133,ACTA MICROBIOL IMM H,1217-8950,213,0.787,,0.132,38,4.9,0.00052,
134,ACTA MICROSC,0798-4545,61,0.202,,0,11,,0.00018,
135,ACTA MONTAN SLOVACA,1335-1788,61,0.084,,0,23,,0.00023,
136,ACTA NEUROBIOL EXP,0065-1400,852,2.11,1.905,0.116,43,6.5,0.00175,0.452
137,ACTA NEUROCHIR,0001-6268,6333,1.52,1.839,0.38,258,9.8,0.01031,0.54
138,ACTA NEUROL BELG,0300-9009,410,0.535,0.746,0,72,8,0.00072,0.189
139,ACTA NEUROL SCAND,0001-6314,5440,2.469,2.347,0.942,138,9.8,0.00884,0.685
140,ACTA NEUROPATHOL,0001-6322,10562,9.32,7.28,2.158,114,7.3,0.02644,2.329
141,ACTA NEUROPSYCHIATR,0924-2708,243,0.577,0.643,0.279,68,4.2,0.00077,0.167
142,ACTA OBSTET GYN SCAN,0001-6349,5671,1.771,1.754,0.294,197,8.4,0.01112,0.545
143,ACTA OCEANOL SIN,0253-505X,627,0.494,0.52,0.047,86,7.4,0.00127,0.157
144,ACTA ODONTOL SCAND,0001-6357,2181,1.066,1.386,0.15,60,>10.0,0.00209,0.406
145,ACTA OECOL,1146-609X,2162,1.57,1.946,0.488,86,7,0.00549,0.65
146,ACTA ONCOL,0284-186X,4167,3.33,3.047,0.654,159,5.6,0.01263,0.999
147,ACTA OPHTHALMOL,1755-375X,4792,2.629,2.544,0.374,214,8.7,0.01006,0.736
148,ACTA ORNITHOL,0001-6454,276,1.229,1.178,0.13,23,5.1,0.00073,0.309
149,ACTA ORTHOP,1745-3674,6454,2.168,2.541,0.21,119,>10.0,0.01042,0.847
150,ACTA ORTHOP BELG,0001-6462,1192,0.401,,0.007,141,7.8,0.0027,
151,ACTA ORTHOP TRAUMATO,1017-995X,277,0.337,,0.1,60,5.5,0.00082,
152,ACTA ORTOP BRAS,1413-7852,173,0.698,,0.016,61,2.7,0.00029,
153,ACTA OTO-LARYNGOL,0001-6489,6044,1.084,1.219,0.195,200,>10.0,0.00869,0.377
154,ACTA OTORHINOLARYNGO,0392-100X,600,0.863,,0,55,8.1,0.00123,
155,ACTA PAEDIATR,0803-5253,9934,2.073,2.118,0.44,309,8.4,0.02067,0.683
156,ACTA PALAEONTOL POL,0567-7920,1089,1.488,1.419,0.29,62,7.2,0.00406,0.746
157,ACTA PARASITOL,1230-2821,633,0.789,0.851,0.164,61,7.4,0.00131,0.266
158,ACTA PAUL ENFERM,0103-2100,262,0.273,,0.04,99,4.2,0.00054,
159,ACTA PHARMACEUT,1330-0075,679,0.912,,0.025,40,6.2,0.00117,
160,ACTA PHARMACOL SIN,1671-4083,4685,1.953,2.083,0.38,200,6.1,0.00999,0.513
161,ACTA PHYS POL A,0587-4246,1342,0.444,0.404,0.086,475,3.6,0.00441,0.112
162,ACTA PHYS POL B,0587-4254,1908,0.901,0.596,0.3,240,6.1,0.00705,0.263
163,ACTA PHYS SIN-CH ED,1000-3290,7935,1.027,0.899,0.139,1366,3.8,0.00732,0.062
164,ACTA PHYS SLOVACA,0323-0465,258,2.167,1.216,0.2,5,5.3,0.00153,0.717
165,ACTA PHYS-CHIM SIN,1000-6818,1965,0.78,0.676,0.135,437,3.7,0.00369,0.099
166,ACTA PHYSIOL,1748-1708,1753,3.09,2.96,0.736,144,3.2,0.01063,1.058
167,ACTA PHYSIOL HUNG,0231-424X,339,0.821,0.83,0.078,51,>10.0,0.00062,0.219
168,ACTA PHYSIOL PLANT,0137-5881,1346,1.639,1.533,0.177,271,3.8,0.00268,0.268
169,ACTA POL PHARM,0001-6837,636,0.663,,0.025,79,6.4,0.00103,
170,ACTA POLYM SIN,1000-3304,895,0.769,0.528,0.062,208,4,0.00095,0.048
171,ACTA POLYTECH HUNG,1785-8860,77,0.385,,0.07,43,,0.00019,
172,ACTA PROTOZOOL,0065-1583,639,1.317,1.299,0.042,24,8.1,0.00146,0.449
173,ACTA PSYCHIAT SCAND,0001-690X,10311,4.22,4.299,0.903,93,>10.0,0.01512,1.338
174,ACTA RADIOL,0284-1851,3170,1.369,1.315,0.134,187,9.7,0.00664,0.434
175,ACTA REUMATOL PORT,0303-464X,186,0.547,,0.227,44,3.2,0.0006,
176,ACTA SCI POL-HORTORU,1644-0692,99,0.393,,0.029,70,,0.00006,
177,ACTA SCI VET,1678-0345,163,0.207,,0.014,70,4.8,0.00049,
178,ACTA SCI-AGRON,1679-9275,426,0.43,,0.09,100,4.4,0.00086,
179,ACTA SCI-TECHNOL,1806-2563,64,0.191,,0.167,60,,0.00013,
180,ACTA SOC BOT POL,0001-6977,408,0.36,0.476,0.049,41,>10.0,0.0004,0.105
181,ACTA THERIOL,0001-7051,1035,0.89,0.98,0.14,43,>10.0,0.00111,0.306
182,ACTA TROP,0001-706X,4775,2.722,2.561,0.608,171,6.8,0.00986,0.707
183,ACTA VET BRNO,0001-7213,613,0.431,0.539,0.021,48,7.1,0.00104,0.124
184,ACTA VET HUNG,0236-6290,550,0.673,0.792,0.2,50,8.1,0.00087,0.186
185,ACTA VET SCAND,0044-605X,1220,1.367,1.521,0.258,66,>10.0,0.00206,0.429
186,ACTA VET-BEOGRAD,0567-8315,163,0.167,0.245,0,60,6.7,0.00024,0.045
187,ACTA VIROL,0001-723X,631,0.682,0.764,0.091,33,>10.0,0.00079,0.237
188,ACTA ZOOL ACAD SCI H,1217-8837,391,0.564,0.57,0.038,26,>10.0,0.00051,0.188
189,ACTA ZOOL BULGAR,0324-0770,156,0.247,,0.407,54,5.5,0.0003,
190,ACTA ZOOL-STOCKHOLM,0001-7272,722,1.133,1.113,0.325,40,>10.0,0.00182,0.488
191,ACTAS ESP PSIQUIATRI,1139-9287,372,0.589,0.762,0.115,61,5.5,0.0007,0.142
192,ACTAS UROL ESP,0210-4806,446,0.455,,0.386,88,4.2,0.00125,
193,ACTUAL CHIMIQUE,0151-9093,111,0.115,0.125,0,93,5.8,0.00032,0.037
194,ACUPUNCT MED,0964-5284,460,1.188,,0.523,44,5.9,0.00064,
195,ACUPUNCTURE ELECTRO,0360-1293,251,1.3,1.138,0.1,10,>10.0,0.00019,0.158
196,AD HOC NETW,1570-8705,1183,2.11,,0.22,100,4.5,0.00628,
197,AD HOC SENS WIREL NE,1551-9899,81,0.4,,0.022,45,,0.00046,
198,ADANSONIA,1280-8571,217,0.325,0.385,0.182,22,>10.0,0.00026,0.13
199,ADAPT BEHAV,1059-7123,395,1.019,1.244,0.083,24,7.6,0.00088,0.404
200,ADAPT PHYS ACT Q,0736-5829,611,1.487,1.68,0.2,20,9.7,0.00064,0.347
201,ADDICT BEHAV,0306-4603,6416,2.085,2.522,0.225,236,6.9,0.01693,0.843
202,ADDICT BIOL,1355-6215,1510,4.833,5,1.435,62,4,0.0057,1.505
203,ADDICTION,0965-2140,11940,4.313,4.739,1.937,207,6.9,0.03109,1.69
204,ADICCIONES,0214-4840,201,0.8,,0.167,24,5.5,0.00036,
205,ADSORPT SCI TECHNOL,0263-6174,590,0.606,0.548,0.038,52,8.3,0.00067,0.109
206,ADSORPTION,0929-5607,1328,2,2.215,0.29,100,5.9,0.00303,0.562
207,ADV AGRON,0065-2113,2678,5.204,5.744,0.696,23,>10.0,0.00435,1.956
208,ADV ANAT EMBRYOL CEL,0301-5556,352,4,3.385,1.667,3,>10.0,0.00059,1.238
209,ADV ANAT PATHOL,1072-4109,1083,3.924,3.533,0.275,40,5.2,0.00374,1.132
210,ADV APPL CERAM,1743-6753,392,0.871,1.022,0.36,75,3.4,0.00163,0.284
211,ADV APPL CLIFFORD AL,0188-7009,174,0.496,0.533,0.02,49,4.2,0.00105,0.251
212,ADV APPL MATH,0196-8858,903,0.843,0.908,0.198,81,9.9,0.00487,0.971
213,ADV APPL MATH MECH,2070-0733,77,0.75,0.75,0.119,42,,0.00063,0.356
214,ADV APPL MECH,0065-2156,1032,5,6.357,,0,>10.0,0.00075,2.927
215,ADV APPL MICROBIOL,0065-2164,1097,5.233,4.202,0,11,7.9,0.00244,1.341
216,ADV APPL PROBAB,0001-8678,1665,0.679,0.897,0.111,54,>10.0,0.00495,0.991
217,ADV ATMOS SCI,0256-1530,1236,0.987,0.981,0.198,121,6.9,0.00302,0.317
218,ADV BIOCHEM ENG BIOT,0724-6145,1734,1.644,3.353,1,9,6.8,0.00344,0.918
219,ADV BIOPHYS,0065-227X,185,,,,0,>10.0,0,
220,ADV BOT RES,0065-2296,769,2.855,2.653,0.08,25,>10.0,0.0016,0.865
221,ADV CALC VAR,1864-8258,42,0.688,0.837,,,,0.00109,1.212
222,ADV CARBOHYD CHEM BI,0065-2318,851,7.643,5.56,0.333,6,>10.0,0.00074,1.614
223,ADV CATAL,0360-0564,1395,3.667,5.04,0,5,>10.0,0.00072,1.57
224,ADV CEM RES,0951-7197,396,1.08,1.204,0,37,8.5,0.00157,0.756
225,ADV CHEM PHYS,0065-2385,2260,3.579,3.103,,,>10.0,0.00244,1.526
226,ADV CHROMATOGR,0065-2415,244,1.842,1.864,0.1,10,>10.0,0.00046,0.567
227,ADV CHRONIC KIDNEY D,1548-5595,715,3.012,2.48,0.236,55,3.8,0.0035,0.832
228,ADV CLIN CHEM,0065-2423,444,3.205,2.848,0.238,21,4.4,0.00139,0.823
229,ADV CLIN EXP MED,1899-5276,105,0.176,,0.033,91,5,0.00016,
230,ADV COLLOID INTERFAC,0001-8686,6414,8.12,8.372,0.633,79,7.8,0.01312,2.372
231,ADV COMPLEX SYST,0219-5259,313,0.653,0.745,0.068,44,6.4,0.00129,0.357
232,ADV COMPOS LETT,0963-6935,94,0.432,0.457,0.062,16,,0.00027,0.14
233,ADV COMPOS MATER,0924-3046,153,0.426,0.52,0.05,40,7,0.0004,0.173
234,ADV COMPUT,0065-2458,121,0.342,0.238,0.111,18,9.7,0.00018,0.12
235,ADV COMPUT MATH,1019-7168,1077,1.488,1.193,0.364,33,>10.0,0.00374,0.985
236,ADV COND MATTER PHYS,1687-8108,58,1.158,1.174,0.125,24,,0.00055,0.645
237,ADV DATA ANAL CLASSI,1862-5347,33,0.562,0.541,0,18,,0.00044,0.394
238,ADV DIFFER EQU-NY,1687-1847,338,0.845,0.79,0.256,90,2.7,0.00164,0.272
239,ADV DIFFERENTIAL EQU,1079-9389,568,0.727,,0.244,41,8.3,0.00351,
240,ADV DRUG DELIVER REV,0169-409X,19409,11.502,14.608,1.554,101,7,0.03935,3.852
241,ADV ECOL RES,0065-2504,1618,5.333,3.224,5,5,>10.0,0.00105,1.169
242,ADV ELECTR COMPUT EN,1582-7445,100,0.555,,0.104,77,1.9,0.00019,
243,ADV ENERGY MATER,1614-6832,327,,,1.95,161,0.5,0.00007,
244,ADV ENG INFORM,1474-0346,621,1.489,2.041,0.234,64,4.7,0.00182,0.508
245,ADV ENG MATER,1438-1656,3283,1.185,1.688,0.269,193,5.9,0.01134,0.642
246,ADV ENG SOFTW,0965-9978,1255,1.092,1.226,0.036,111,5.6,0.00441,0.442
247,ADV EXP MED BIOL,0065-2598,10020,1.093,1.374,0.321,399,7.4,0.03164,0.51
248,ADV FUNCT MATER,1616-301X,28503,10.179,9.92,1.514,533,4,0.11265,2.939
249,ADV GEOM,1615-715X,140,0.338,0.315,0.205,44,6.2,0.00128,0.386
250,ADV GEOPHYS,0065-2687,349,0.889,1.421,,,>10.0,0.00072,1.026
251,ADV HEALTH SCI EDUC,1382-4996,780,2.089,2.059,0.429,49,4.5,0.00323,0.796
252,ADV HETEROCYCL CHEM,0065-2725,884,1.818,2.28,0.5,6,>10.0,0.0004,0.43
253,ADV HIGH ENERGY PHYS,1687-7357,133,4.522,3.405,0.107,28,1.7,0.00113,1.66
254,ADV HUM GENET,0065-275X,61,,,,0,,0,
255,ADV IMAG ELECT PHYS,1076-5670,265,0.491,0.992,0.25,20,7.2,0.00103,0.473
256,ADV IMMUNOL,0065-2776,2240,5.762,7.438,0.6,20,9.9,0.0086,4.179
257,ADV INORG CHEM,0898-8838,1567,3.048,3.049,0.3,10,>10.0,0.0006,0.798
258,ADV INSECT PHYSIOL,0065-2806,463,2.842,4.516,0,8,>10.0,0.00104,1.825
259,ADV MAR BIOL,0065-2881,1012,2.043,3.902,0,4,>10.0,0.00105,1.395
260,ADV MATER,0935-9648,79860,13.877,12.813,2.155,789,5,0.26226,4.061
261,ADV MATER PROCESS,0882-7958,330,0.066,0.158,0.021,47,>10.0,0.0005,0.073
262,ADV MATER SCI ENG,1687-6822,32,0.415,,0.088,34,,0.00017,
263,ADV MATH,0001-8708,4659,1.177,1.461,0.349,338,9.4,0.03909,1.972
264,ADV MATH COMMUN,1930-5346,71,0.462,0.476,0.235,51,,0.00129,0.568
265,ADV MED SCI-POLAND,1896-1126,315,0.952,,0.036,55,4.2,0.00155,
266,ADV MICROB ECOL,0147-4863,291,,,,0,>10.0,0,
267,ADV MICROB PHYSIOL,0065-2911,909,9.875,8.65,0,5,>10.0,0.00129,3.507
268,ADV NEUROL,0091-3952,1845,,,,0,>10.0,0.00058,
269,ADV NONLINEAR STUD,1536-1365,217,0.644,0.708,0.213,47,4.4,0.00218,0.617
270,ADV NURS SCI,0161-9268,938,0.969,1.444,0.03,33,>10.0,0.00108,0.389
271,ADV NUTR RES,0149-9483,33,,,,0,,0,
272,ADV ORGANOMET CHEM,0065-3055,951,7,6.636,0.5,2,>10.0,0.00074,1.834
273,ADV PARASIT,0065-308X,1515,4.39,4.317,0.733,15,7.9,0.00307,1.327
274,ADV PHYS,0001-8732,4400,37,25.289,3.778,9,>10.0,0.01485,17.966
275,ADV PHYS ORG CHEM,0065-3160,462,1.923,2.96,0,4,>10.0,0.00046,1.003
276,ADV PHYSIOL EDUC,1043-4046,643,1.547,1.825,0.151,53,5.3,0.00157,0.416
277,ADV POLYM SCI,0065-3195,4271,3.89,6.192,0.755,49,7.7,0.00788,1.959
278,ADV POLYM TECH,0730-6679,545,0.875,1.261,0.071,28,9.7,0.00066,0.324
279,ADV POWDER TECHNOL,0921-8831,702,1.612,1.429,0.261,119,3.5,0.00218,0.381
280,ADV PROTEIN CHEM STR,1876-1623,52,1.833,1.875,0.25,24,,0.00061,1.383
281,ADV QUANTUM CHEM,0065-3276,754,2.275,1.356,0.667,12,>10.0,0.0011,0.509
282,ADV ROBOTICS,0169-1864,607,0.571,0.744,0.074,108,5.1,0.00187,0.226
283,ADV SKIN WOUND CARE,1527-7941,637,1.438,,0.231,39,5.6,0.00164,
284,ADV SPACE RES,0273-1177,6916,1.178,1.066,0.305,443,7.2,0.01967,0.426
285,ADV STEEL CONSTR,1816-112X,44,0.339,,0.04,25,,0.00038,
286,ADV STRUCT ENG,1369-4332,262,0.324,0.549,0.056,89,5.1,0.00143,0.254
287,ADV STUD BEHAV,0065-3454,1079,3.367,4.982,0.167,6,>10.0,0.00246,2.346
