Rank,Journal Title,ISSN,Total Cites,IF,5-Year IF,Immediacy Index,Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
131,ACTA METALL SIN,0412-1961,1433,0.612,0.542,0.084,215,6.4,0.00219,0.103
132,ACTA METALL SIN-ENGL,1006-7191,253,0.467,,0.127,55,4.5,0.00086,
133,ACTA METEOROL SIN,0894-0525,882,0.799,1.218,0.117,60,7.6,0.00187,0.375
134,ACTA MICROBIOL IMM H,1217-8950,226,0.646,,0.135,37,5.6,0.0005,
135,ACTA MONTAN SLOVACA,1335-1788,81,0.094,0.133,,,,0.00032,0.047
136,ACTA NATURAE,2075-8251,61,0.477,,0.103,29,,0.00035,
137,ACTA NEUROBIOL EXP,0065-1400,913,1.977,1.804,0.256,39,6.9,0.00179,0.476
138,ACTA NEUROCHIR,0001-6268,6326,1.546,1.688,0.288,260,9.7,0.00987,0.503
139,ACTA NEUROL BELG,0300-9009,439,0.466,0.605,0.2,60,7.8,0.0007,0.16
140,ACTA NEUROL SCAND,0001-6314,5577,2.474,2.327,0.557,131,>10.0,0.00798,0.665
141,ACTA NEUROPATHOL,0001-6322,11664,9.734,8.562,2.565,124,6.8,0.02978,2.83
142,ACTA NEUROPSYCHIATR,0924-2708,288,0.606,0.65,0.111,54,4.7,0.00081,0.161
143,ACTA OBSTET GYN SCAN,0001-6349,6053,1.85,1.961,0.462,210,8.5,0.01109,0.607
144,ACTA OCEANOL SIN,0253-505X,747,0.583,0.634,0.077,91,7.4,0.0012,0.158
145,ACTA ODONTOL SCAND,0001-6357,2456,1.358,1.668,0.293,92,>10.0,0.00265,0.54
146,ACTA OECOL,1146-609X,2140,1.621,1.82,0.208,96,7.5,0.00478,0.599
147,ACTA ONCOL,0284-186X,4416,2.867,2.896,0.632,117,6,0.0121,0.942
148,ACTA OPHTHALMOL,1755-375X,4978,2.345,2.428,0.425,212,8.2,0.01099,0.762
149,ACTA ORNITHOL,0001-6454,343,1.681,1.367,0.087,23,5.8,0.00081,0.359
150,ACTA ORTHOP,1745-3674,6772,2.736,2.789,0.288,111,>10.0,0.01101,0.983
151,ACTA ORTHOP BELG,0001-6462,1382,0.629,0.761,0.051,136,7.3,0.00342,0.273
152,ACTA ORTHOP TRAUMATO,1017-995X,358,0.597,,0.133,15,4.9,0.00126,
153,ACTA OTO-LARYNGOL,0001-6489,6086,1.106,1.183,0.123,220,>10.0,0.00793,0.375
154,ACTA OTORHINOLARYNGO,0392-100X,696,0.786,,0.237,59,7.2,0.00135,
155,ACTA PAEDIATR,0803-5253,10314,1.974,2.064,0.411,350,8.7,0.01929,0.672
156,ACTA PALAEONTOL POL,0567-7920,1318,1.577,1.669,0.719,64,7.5,0.00336,0.641
157,ACTA PARASITOL,1230-2821,674,1,0.972,0.154,52,7.1,0.00145,0.29
158,ACTA PAUL ENFERM,0103-2100,188,0.142,,,,4.5,0.00059,
159,ACTA PETROL SIN,1000-0569,4026,1.117,1.481,0.308,315,5.5,0.0066,0.253
160,ACTA PHARMACEUT,1330-0075,738,1.162,,0.075,40,6.5,0.00118,
161,ACTA PHARMACOL SIN,1671-4083,5577,2.354,2.521,0.596,178,6.2,0.01085,0.6
162,ACTA PHYS POL A,0587-4246,1751,0.531,0.479,0.108,637,3.7,0.00568,0.131
163,ACTA PHYS POL B,0587-4254,2340,1.011,0.703,1.372,172,5.7,0.00761,0.31
164,ACTA PHYS SIN-CH ED,1000-3290,8047,1.016,0.847,0.114,1582,3.8,0.00841,0.071
165,ACTA PHYS SLOVACA,0323-0465,266,1.333,5.103,0.5,2,5.8,0.0017,3.34
166,ACTA PHYS-CHIM SIN,1000-6818,2326,0.869,0.722,0.233,407,3.9,0.00342,0.091
167,ACTA PHYSIOL,1748-1708,2662,4.382,3.853,1.008,123,3.1,0.01116,1.073
168,ACTA PHYSIOL HUNG,0231-424X,369,0.882,0.868,0.062,48,8.6,0.00067,0.221
169,ACTA PHYSIOL PLANT,0137-5881,1692,1.305,1.53,0.259,239,3.9,0.00423,0.323
170,ACTA POL PHARM,0001-6837,773,0.665,0.71,0.16,94,5.8,0.0013,0.138
171,ACTA POLYM SIN,1000-3304,992,0.677,0.55,0.111,207,4.6,0.00117,0.063
172,ACTA POLYTECH HUNG,1785-8860,141,0.588,,0.036,55,3.1,0.0002,
173,ACTA PROTOZOOL,0065-1583,594,0.984,0.715,0.32,25,9.8,0.0007,0.243
174,ACTA PSYCHIAT SCAND,0001-690X,11048,4.857,4.625,1,98,>10.0,0.01408,1.399
175,ACTA RADIOL,0284-1851,3362,1.33,1.454,0.077,182,9,0.00662,0.449
176,ACTA REUMATOL PORT,0303-464X,195,0.695,0.645,0.121,33,3.5,0.00064,0.137
177,ACTA SCI POL-HORTORU,1644-0692,203,0.691,0.69,0.09,111,2.8,0.00024,0.06
178,ACTA SCI VET,1678-0345,181,0.273,,0.025,79,5.4,0.00038,
179,ACTA SCI-AGRON,1807-8621,365,0.365,,0.178,45,4.8,0.00111,
180,ACTA SCI-TECHNOL,1806-2563,80,0.319,0.292,0.05,60,,0.00013,0.036
181,ACTA SOC BOT POL,0001-6977,392,0.585,0.476,0.304,46,9.9,0.00043,0.115
182,ACTA THERIOL,0001-7051,1062,0.949,1.083,0.136,44,>10.0,0.00112,0.331
183,ACTA TROP,0001-706X,5090,2.787,2.511,0.645,166,7.5,0.00865,0.64
184,ACTA VET BRNO,0001-7213,573,0.393,0.561,0,53,7.2,0.00097,0.127
185,ACTA VET HUNG,0236-6290,604,1.173,1.023,0.043,46,6.8,0.00109,0.242
186,ACTA VET SCAND,0044-605X,1450,1.345,1.528,0.145,76,>10.0,0.00233,0.438
187,ACTA VET-BEOGRAD,0567-8315,176,0.258,0.281,0,60,6.3,0.00028,0.055
188,ACTA VIROL,0001-723X,670,0.759,0.84,0.158,38,>10.0,0.00059,0.181
189,ACTA ZOOL ACAD SCI H,1217-8837,364,0.472,0.542,0,24,>10.0,0.00047,0.172
190,ACTA ZOOL BULGAR,0324-0770,181,0.309,,0.056,89,6.1,0.00026,
191,ACTA ZOOL-STOCKHOLM,0001-7272,783,1.471,1.284,0.415,41,>10.0,0.00178,0.489
192,ACTAS ESP PSIQUIATRI,1139-9287,347,0.452,0.665,0.053,38,5.7,0.00063,0.131
193,ACTAS UROL ESP,0210-4806,695,1.144,,0.477,88,3.8,0.00129,
194,ACTUAL CHIMIQUE,0151-9093,95,0.086,0.055,0.024,84,,0.0001,0.013
195,ACUPUNCT MED,0964-5284,504,1.047,,0.364,55,6.1,0.00064,
196,ACUPUNCTURE ELECTRO,0360-1293,214,0.737,0.952,0,10,>10.0,0.00017,0.153
197,AD HOC NETW,1570-8705,1312,1.456,1.957,0.239,109,4.6,0.005,0.689
198,AD HOC SENS WIREL NE,1551-9899,123,0.41,0.387,0,45,5.9,0.00039,0.14
199,ADANSONIA,1280-8571,201,0.639,0.475,0.071,28,>10.0,0.00022,0.126
200,ADAPT BEHAV,1059-7123,490,1.113,1.545,0.414,29,7.5,0.00101,0.475
201,ADAPT PHYS ACT Q,0736-5829,616,1.125,1.629,0.278,18,>10.0,0.0007,0.414
202,ADDICT BEHAV,0306-4603,7365,2.021,2.578,0.323,229,7.4,0.01603,0.831
203,ADDICT BIOL,1355-6215,1977,5.914,5.322,1.011,93,4.1,0.00636,1.517
204,ADDICTION,0965-2140,13194,4.577,4.948,1.321,243,7.2,0.03039,1.681
205,ADICCIONES,0214-4840,284,1.015,,0.088,34,4.7,0.00045,
206,ADSORPT SCI TECHNOL,0263-6174,631,0.559,0.568,0.044,68,8.8,0.00084,0.141
207,ADSORPTION,0929-5607,1455,1.553,2.062,0.17,47,5.9,0.00341,0.544
208,ADV AGRON,0065-2113,2753,5.06,5.512,0.458,24,>10.0,0.00408,1.833
209,ADV ANAT EMBRYOL CEL,0301-5556,352,3.2,3.208,,,>10.0,0.0005,1.188
210,ADV ANAT PATHOL,1072-4109,1199,3.412,3.626,0.325,40,5.1,0.00385,1.175
211,ADV APPL CERAM,1743-6753,385,0.688,0.759,0.292,65,4.2,0.00118,0.196
212,ADV APPL CLIFFORD AL,0188-7009,238,0.584,0.509,0.121,66,4.7,0.00086,0.185
213,ADV APPL MATH,0196-8858,917,0.838,0.882,0.276,58,>10.0,0.00508,0.95
214,ADV APPL MATH MECH,2070-0733,106,0.528,0.688,0.196,51,2.9,0.00085,0.351
215,ADV APPL MECH,0065-2156,960,11.333,7.143,0.6,5,>10.0,0.00079,3.231
216,ADV APPL MICROBIOL,0065-2164,1233,4.974,4.784,0.333,21,8.3,0.00282,1.577
217,ADV APPL PROBAB,0001-8678,1638,0.9,0.841,0.255,51,>10.0,0.00387,0.815
218,ADV ATMOS SCI,0256-1530,1600,1.338,1.324,0.204,108,6.7,0.00425,0.445
219,ADV ATOM MOL OPT PHY,1049-250X,813,2,3.1,0.5,10,>10.0,0.0016,1.822
220,ADV BOT RES,0065-2296,918,2.292,,1.262,42,>10.0,0.0016,
221,ADV CALC VAR,1864-8258,53,0.545,0.797,0.071,14,,0.00112,1.001
222,ADV CANCER RES,0065-230X,1890,6.351,5.512,0.571,21,9.6,0.0044,2.075
223,ADV CARBOHYD CHEM BI,0065-2318,833,7.133,5.846,0.75,4,>10.0,0.00086,1.894
224,ADV CATAL,0360-0564,1399,5.25,5.286,0,2,>10.0,0.00057,1.543
225,ADV CEM RES,0951-7197,379,0.754,0.922,0.432,37,8.9,0.00083,0.371
226,ADV CHEM PHYS,0065-2385,2306,5.25,4.25,0.717,46,>10.0,0.00242,1.92
227,ADV CHROMATOGR,0065-2415,189,1.526,1.326,,,>10.0,0.00033,0.409
228,ADV CHRONIC KIDNEY D,1548-5595,695,2.029,2.082,0.283,53,4.2,0.00331,0.741
229,ADV CLIN CHEM,0065-2423,510,3.674,3.103,0.773,22,4.5,0.0015,0.879
230,ADV CLIN EXP MED,1899-5276,133,0.293,0.204,0.034,89,4,0.00021,0.029
231,ADV COLLOID INTERFAC,0001-8686,7115,6.169,8.01,1.32,50,8.2,0.01226,2.37
232,ADV COMPLEX SYST,0219-5259,392,0.647,0.953,0.207,82,5.2,0.00137,0.366
233,ADV COMPOS LETT,0963-6935,107,0.422,0.372,0,9,8.7,0.00024,0.121
234,ADV COMPOS MATER,0924-3046,173,0.358,0.541,0.054,37,6.3,0.00052,0.205
235,ADV COMPUT,0065-2458,152,0.389,0.452,0.043,23,9.6,0.00029,0.195
236,ADV COMPUT MATH,1019-7168,1175,1.468,1.305,0.128,47,>10.0,0.00373,1.08
237,ADV COND MATTER PHYS,1687-8108,81,1.175,1.071,0.113,53,,0.00078,0.634
238,ADV DATA ANAL CLASSI,1862-5347,93,1.382,1.139,0.158,19,,0.00086,0.618
239,ADV DIFFER EQU-NY,1687-1847,382,0.76,0.774,0.124,129,2.9,0.00159,0.233
240,ADV DIFFERENTIAL EQU,1079-9389,609,0.633,,0.171,35,9.2,0.0026,
241,ADV DRUG DELIVER REV,0169-409X,21563,12.888,15.431,1.488,162,7.4,0.04134,4.165
242,ADV ECOL RES,0065-2504,1609,3.08,3.588,,,>10.0,0.00162,1.806
243,ADV ELECTR COMPUT EN,1582-7445,142,0.552,0.479,0.067,60,2.4,0.00035,0.072
244,ADV ENERGY MATER,1614-6832,1995,10.043,10.05,2.118,169,1.4,0.00944,3.344
245,ADV ENG INFORM,1474-0346,730,1.593,1.708,0.362,69,5.3,0.00179,0.451
246,ADV ENG MATER,1438-1656,3710,1.608,1.78,0.26,169,6.3,0.01051,0.62
247,ADV ENG SOFTW,0965-9978,1525,1.22,1.391,0.2,145,5.3,0.00485,0.476
248,ADV EXP MED BIOL,0065-2598,11905,1.825,1.811,1.268,306,5.9,0.03325,0.608
249,ADV FUNCT MATER,1616-301X,34758,9.765,10.342,1.815,569,4.2,0.12336,3.006
250,ADV GENET,0065-2660,1198,4.85,4.102,0,10,5.9,0.00509,1.974
251,ADV GEOM,1615-715X,160,0.371,0.372,0.167,42,6.2,0.00146,0.442
252,ADV GEOPHYS,0065-2687,370,3.333,1.553,0.333,3,>10.0,0.00062,0.924
253,ADV HEALTH SCI EDUC,1382-4996,1049,2.061,2.606,0.538,39,4.6,0.00418,0.989
254,ADV HEALTHC MATER,2192-2640,58,,,0.712,80,,0.00001,
255,ADV HETEROCYCL CHEM,0065-2725,888,2.478,2.617,0.455,11,>10.0,0.00045,0.543
256,ADV HIGH ENERGY PHYS,1687-7357,200,3.5,2.677,0.404,57,2.3,0.0014,1.225
257,ADV IMAG ELECT PHYS,1076-5670,303,0.712,0.877,0.133,30,8.1,0.00092,0.429
258,ADV IMMUNOL,0065-2776,2325,7.256,8.02,0.871,31,8.6,0.00723,4.041
259,ADV INORG CHEM,0898-8838,1666,2.714,3.378,0.25,8,>10.0,0.00062,0.792
260,ADV INSECT PHYSIOL,0065-2806,514,2.35,4.886,0,5,>10.0,0.0012,1.95
261,ADV MAR BIOL,0065-2881,1144,2.048,4.293,1.091,11,>10.0,0.00114,1.581
262,ADV MATER,0935-9648,91952,14.829,13.86,2.557,867,5.1,0.27819,4.243
263,ADV MATER PROCESS,0882-7958,334,0.15,0.196,0.089,45,9.8,0.00044,0.075
264,ADV MATER SCI ENG,1687-6822,57,0.5,,0.108,111,,0.00022,
265,ADV MATH,0001-8708,5352,1.373,1.51,0.237,317,8.8,0.04511,2.061
266,ADV MATH COMMUN,1930-5346,105,0.6,0.56,0.219,32,2.8,0.00164,0.534
267,ADV MATH PHYS,1687-9120,35,0.459,0.41,0,32,,0.00208,1.524
268,ADV MECH ENG,1687-8132,83,1.062,0.973,0.167,60,,0.00037,0.283
269,ADV MED SCI-POLAND,1896-1126,379,0.796,1.094,0.154,26,4.8,0.00131,0.283
270,ADV METEOROL,1687-9309,92,1.239,1.192,0.106,47,,0.00074,0.576
271,ADV MICROB PHYSIOL,0065-2911,1006,6.545,6.267,1.2,5,>10.0,0.0012,2.28
272,ADV NONLINEAR STUD,1536-1365,230,0.538,0.665,0.067,45,5.3,0.00217,0.6
273,ADV NURS SCI,0161-9268,873,0.822,1.199,0.119,42,>10.0,0.00093,0.341
274,ADV NUTR,2161-8313,264,3.245,3.264,1.011,89,1.3,0.00089,0.962
275,ADV ORGANOMET CHEM,0065-3055,841,6.75,8.941,0,3,>10.0,0.00076,2.537
276,ADV PARASIT,0065-308X,1543,3.778,4.5,0.375,16,8.1,0.00256,1.375
277,ADV PHYS,0001-8732,4849,34.294,31.167,0.857,7,>10.0,0.01393,18.913
278,ADV PHYS ORG CHEM,0065-3160,391,2.818,2.609,,,>10.0,0.00042,1.049
279,ADV PHYSIOL EDUC,1043-4046,790,1.217,1.554,0.068,44,6.4,0.00131,0.334
280,ADV POLYM SCI,0065-3195,4275,3.648,4.925,0.903,31,8.4,0.00513,1.455
281,ADV POLYM TECH,0730-6679,622,1.096,1.157,0.1,40,>10.0,0.00063,0.31
