Rank,Abbreviated Journal Title,ISSN,Total Cites,Impact factor,5-Year IF,Immediacy Index,Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
132,PROG LIPID RES,0163-7827,4382,12.963,12.336,1.659,41,7.8,0.00883,3.854
133,ARCH INTERN MED,0003-9926,39734,13.246,12.305,,0,8.8,0.08584,5.247
134,MOL SYST BIOL,1744-4292,7195,14.099,12.292,2.405,74,4.1,0.03999,5.873
135,IMMUNOL REV,0105-2896,13018,12.909,12.238,2.593,108,5.7,0.04899,5.413
136,ASTROPHYS J SUPPL S,0067-0049,23718,14.137,12.22,3.277,173,7.2,0.08464,6.692
137,TRENDS BIOCHEM SCI,0968-0004,15910,13.522,12.197,1.926,68,>10.0,0.03767,5.988
138,Q REV BIOPHYS,0033-5835,2529,10.083,11.868,0.778,9,>10.0,0.00546,6.163
139,NAT REV ENDOCRINOL,1759-5029,2753,12.958,11.843,1.804,56,2.7,0.01608,4.312
140,TRENDS CELL BIOL,0962-8924,11144,12.314,11.742,1.947,75,7,0.03868,5.839
141,ANGEW CHEM INT EDIT,1433-7851,215408,11.336,11.7,2.401,2337,5.7,0.50392,3.232
142,ANNU REV EARTH PL SC,0084-6597,5457,10.188,11.64,1.286,28,>10.0,0.01268,6.826
143,HEPATOLOGY,0270-9139,53052,11.19,11.532,2.569,432,6.7,0.12712,3.809
144,GUT,0017-5749,33059,13.319,11.483,4.409,181,8.5,0.0654,4.141
145,ANN NEUROL,0364-5134,33670,11.91,11.353,1.893,178,9.5,0.06321,4.18
146,ANNU REV ANAL CHEM,1936-1327,1320,7.814,11.313,1,19,4.4,0.01452,7.548
147,AM J RESP CRIT CARE,1073-449X,51564,11.986,11.284,3.295,275,8.8,0.09514,3.877
148,MOL ASPECTS MED,0098-2997,3486,10.302,11.214,2.422,83,5.4,0.00845,3.281
149,BIOTECHNOL ADV,0734-9750,8184,8.905,11.211,1.137,139,4.6,0.02099,2.788
150,ADV FUNCT MATER,1616-301X,42244,10.439,11.21,2.403,636,4.4,0.12081,2.95
151,PROG RETIN EYE RES,1350-9462,3875,9.897,11.207,1.381,42,7.4,0.00845,3.608
152,CELL RES,1001-0602,8083,11.981,11.078,3.95,80,4.4,0.03778,4.394
153,NEUROSCI BIOBEHAV R,0149-7634,15111,10.284,11.075,1.401,207,6.7,0.03843,3.729
154,POLYM REV,1558-3724,1267,6.593,11.035,0.524,21,5.2,0.00398,2.769
155,NAT COMMUN,2041-1723,17193,10.742,11.023,1.721,1591,1.9,0.12343,5.649
156,J AM CHEM SOC,0002-7863,462510,11.444,11.015,2.227,2840,7.9,0.81912,3.062
157,NPG ASIA MATER,1884-4049,654,9.902,10.964,0.923,39,1.9,0.00333,3.55
158,BIOL REV,1464-7931,7261,9.79,10.912,2.071,56,8.7,0.01426,4.179
159,ANNU REV NUTR,0199-9885,4846,10.459,10.889,0.947,19,>10.0,0.0058,3.5
160,BRAIN,0006-8950,44457,10.226,10.846,2.125,272,8.2,0.0902,3.87
161,CURR OPIN CELL BIOL,0955-0674,14069,8.736,10.843,2.16,100,7.5,0.04667,5.396
162,AM J HUM GENET,0002-9297,33944,10.987,10.781,1.882,212,9,0.08038,5.074
163,CIRC RES,0009-7330,47185,11.089,10.759,2.45,262,8.5,0.09281,3.826
164,P NATL ACAD SCI USA,0027-8424,565934,9.809,10.727,2.039,3901,8.2,1.50118,4.863
165,PLANT CELL,1040-4651,44699,9.575,10.656,1.483,315,8.3,0.08771,3.802
166,TRENDS BIOTECHNOL,0167-7799,10767,10.04,10.655,2.667,69,7.5,0.02049,3.062
167,PSYCHOL REV,0033-295X,22243,7.719,10.641,1.639,36,>10.0,0.01853,5.593
168,GENOME BIOL,1465-6906,19687,10.465,10.632,1.601,173,6.1,0.08275,5.602
169,FRONT NEUROENDOCRIN,0091-3022,3070,7.581,10.579,1.16,25,5.4,0.00932,3.398
170,PROG NEUROBIOL,0301-0082,11310,10.301,10.57,1.745,51,9.1,0.02122,3.475
171,MOL BIOL EVOL,0737-4038,34971,14.308,10.494,1.824,238,6.6,0.08732,3.829
172,J CELL BIOL,0021-9525,71491,9.688,10.398,1.692,289,>10.0,0.14947,5.451
173,TRENDS PHARMACOL SCI,0165-6147,10912,9.988,10.39,1.776,67,7.7,0.02406,3.641
174,NAT PROD REP,0265-0568,7158,10.715,10.353,3.719,57,6.1,0.01728,3.229
175,BIOL PSYCHIAT,0006-3223,40687,9.472,10.347,2.883,239,7.4,0.08177,3.332
176,NAT REV GASTRO HEPAT,1759-5045,2342,10.807,10.34,2.258,62,2.7,0.01377,3.882
177,TRENDS IMMUNOL,1471-4906,8638,12.031,10.339,2.107,75,6.4,0.02783,4.471
178,TRENDS MOL MED,1471-4914,6659,10.11,10.292,1.527,74,5.6,0.0209,3.718
179,FRONT ECOL ENVIRON,1540-9295,5362,8.412,10.23,1.284,67,5.7,0.01917,4.261
180,CURR BIOL,0960-9822,46037,9.916,10.227,2.266,391,7,0.15525,5.288
181,TRENDS GENET,0168-9525,11015,11.597,10.213,1.571,77,8.7,0.03149,5.215
182,NANO ENERGY,2211-2855,971,10.211,10.211,1.533,150,1.4,0.00282,2.372
183,OCEANOGR MAR BIOL,0078-3218,2180,11.083,10.194,0.2,5,>10.0,0.00198,3.819
184,EMBO J,0261-4189,76176,10.748,10.168,2.951,225,>10.0,0.15325,5.545
185,NAT REV CARDIOL,1759-5002,2196,10.154,10.058,2.057,53,2.9,0.01314,3.812
186,CSH PERSPECT BIOL,1943-0264,5419,8.226,10.054,1.248,153,3,0.04533,5.21
187,ALZHEIMERS DEMENT,1552-5260,3821,17.472,10.035,2.373,83,2.7,0.01606,3.078
188,EUR UROL,0302-2838,19389,12.48,9.983,4.439,189,4.6,0.0564,2.955
189,SIAM REV,0036-1445,5484,4.791,9.833,0.5,22,>10.0,0.01371,7.187
190,CURR OPIN PLANT BIOL,1369-5266,10736,9.385,9.825,0.772,101,6.6,0.02855,3.476
191,DRUG RESIST UPDATE,1368-7646,2113,8.816,9.667,1.143,7,6.6,0.00483,2.915
192,J ALLERGY CLIN IMMUN,0091-6749,36389,11.248,9.664,2.86,301,6.5,0.07898,2.846
193,BLOOD,0006-4971,149865,9.775,9.609,2.288,1012,6.8,0.41182,3.674
194,NAT REV RHEUMATOL,1759-4790,2596,10.252,9.608,1.484,64,2.8,0.01562,3.591
195,B AM METEOROL SOC,0003-0007,13505,11.574,9.604,1.462,104,>10.0,0.03257,5.276
196,MATER TODAY,1369-7021,4739,10.85,9.579,1.175,40,5.7,0.014,3.232
197,J HEPATOL,0168-8278,24551,10.401,9.557,2.329,304,5.4,0.06827,3.099
198,CATAL REV,0161-4940,2699,6.111,9.488,0.625,8,>10.0,0.00195,2.715
199,HUM REPROD UPDATE,1355-4786,5799,8.657,9.464,1.833,48,7.1,0.01346,3.243
200,CURR OPIN CHEM BIOL,1367-5931,9066,7.652,9.446,0.976,127,6.2,0.02522,3.298
201,ADV COLLOID INTERFAC,0001-8686,7891,8.636,9.419,0.714,35,8,0.01381,2.663
202,ACTA CRYSTALLOGR D,0907-4449,14310,7.232,9.416,0.611,257,5.4,0.06393,5.002
203,SLEEP MED REV,1087-0792,3512,9.141,9.32,2.186,43,6.2,0.00922,3.203
204,ISME J,1751-7362,8309,9.267,9.296,1.915,212,3.1,0.04025,3.121
205,AUTOPHAGY,1554-8627,7829,11.423,9.257,1.094,171,4.1,0.03566,3.244
206,ANNU REV CHEM BIOMOL,1947-5438,589,8.109,9.238,0.5,12,2.6,0.0034,3.23
207,SCHIZOPHRENIA BULL,0586-7614,13188,8.607,9.222,2.049,144,6.4,0.02955,2.778
208,INT MATER REV,0950-6608,2534,6.552,9.2,0.688,16,>10.0,0.00371,3.166
209,EMBO MOL MED,1757-4676,2188,8.245,9.196,2.063,127,2.3,0.0134,3.831
210,ECOL MONOGR,0012-9615,9092,7.107,9.188,0.96,25,>10.0,0.00991,3.974
211,LASER PHOTONICS REV,1863-8880,2114,9.313,9.177,2.292,89,3.2,0.01196,3.722
212,CLIN INFECT DIS,1058-4838,49629,9.416,9.177,2.905,431,6.6,0.12905,3.314
213,BBA-REV CANCER,0304-419X,3672,7.584,9.141,1.3,50,5.1,0.01089,2.96
214,CURR OPIN STRUC BIOL,0959-440X,10465,8.747,9.113,1.523,111,7.4,0.03492,4.518
215,DIABETES,0012-1797,49801,8.474,9.105,2.212,425,8.4,0.09335,3.119
216,CANCER METAST REV,0167-7659,5249,6.449,9.076,0.953,43,6.3,0.01335,3.046
217,J AM SOC NEPHROL,1046-6673,31083,9.466,9.062,1.805,190,7.7,0.06359,3.221
218,MED RES REV,0198-6325,3511,8.131,9.042,2.571,35,7.5,0.00576,2.424
219,WIRES COMPUT MOL SCI,1759-0876,1176,9.041,9.041,2.485,40,1.9,0.00526,2.601
220,PART FIBRE TOXICOL,1743-8977,1934,6.987,8.96,0.492,59,3.8,0.00601,2.077
221,CANCER RES,0008-5472,142970,9.284,8.958,1.887,670,8.5,0.25773,3.196
222,PLOS PATHOG,1553-7374,25613,8.057,8.957,1.352,731,3.5,0.14214,3.53
223,J MOL CELL BIOL,1674-2788,1011,8.432,8.953,1.485,33,2.5,0.00572,3.195
224,EARTH-SCI REV,0012-8252,7460,7.135,8.95,0.892,93,7.8,0.0186,3.695
225,TRENDS ENDOCRIN MET,1043-2760,6047,8.868,8.936,1.681,69,5.5,0.01917,3.311
226,BIOMATERIALS,0142-9612,81229,8.312,8.911,1.425,991,6.3,0.13731,1.959
227,PLOS GENET,1553-7404,27581,8.167,8.901,1.272,842,3.6,0.18782,4.534
228,ACTA NEUROPATHOL,0001-6322,12284,9.777,8.854,2.717,120,6.5,0.03093,3.076
229,TRENDS MICROBIOL,0966-842X,8763,9.808,8.85,2.137,73,7.8,0.0211,3.382
230,J CACHEXIA SARCOPENI,2190-5991,516,7.413,8.786,0.733,30,2.5,0.00188,2.009
231,BRAIN RES REV,0165-0173,8452,5.93,8.781,,0,9,0.01314,2.964
232,STUD MYCOL,0166-0616,1461,9.296,8.683,5.5,14,6.5,0.00269,2.555
233,MASS SPECTROM REV,0277-7037,3904,8.053,8.661,1.333,27,6.8,0.00796,2.689
234,LEUKEMIA,0887-6924,19431,9.379,8.657,3.377,220,5.9,0.05716,3.223
235,ANN RHEUM DIS,0003-4967,29337,9.27,8.632,3.291,309,5.6,0.07422,2.652
236,GLOBAL CHANGE BIOL,1354-1013,22987,8.224,8.595,1.631,312,5.9,0.06802,3.116
237,ELIFE,2050-084X,722,8.519,8.556,2.127,228,0.7,0.00277,6.134
238,CHEM SCI,2041-6520,9303,8.601,8.547,3.07,556,1.8,0.04009,2.708
239,FISH FISH,1467-2960,2243,8.755,8.522,1.722,36,5.7,0.00818,3.651
240,NANO RES,1998-0124,4140,6.963,8.519,1.167,96,3.4,0.01919,2.43
241,NEUROPSYCHOPHARMACOL,0893-133X,21567,7.833,8.518,1.765,255,6,0.05761,2.818
242,ANTIOXID REDOX SIGN,1523-0864,14273,7.667,8.499,2.248,306,4.1,0.04464,2.489
243,CYTOKINE GROWTH F R,1359-6101,4662,6.537,8.493,1.02,50,8,0.00919,2.68
244,PHARMACOL THERAPEUT,0163-7258,11180,7.745,8.492,2.19,105,7.1,0.02208,2.619
245,SEMIN CANCER BIOL,1044-579X,4731,9.143,8.492,1.915,59,6.8,0.01322,3.213
246,LIGHT-SCI APPL,2047-7538,266,8.476,8.476,2.351,37,1.3,0.00114,3.248
247,CURR OPIN BIOTECH,0958-1669,10289,8.035,8.466,1.38,150,6.6,0.02415,2.723
248,DIABETES CARE,0149-5992,52771,8.57,8.462,2.233,626,7.2,0.10565,2.571
249,CHEM MATER,0897-4756,79744,8.535,8.419,1.296,604,7.1,0.13293,2.037
250,SMALL,1613-6810,22483,7.514,8.416,1.713,487,4,0.07769,2.351
251,PHYS REV X,2160-3308,1130,8.385,8.394,2.304,92,1.6,0.01023,5.611
252,PHYSIOLOGY,1548-9213,2656,5.645,8.387,2.176,34,5.7,0.00888,3.317
253,NUCLEIC ACIDS RES,0305-1048,126356,8.808,8.378,2.332,1318,7.4,0.33438,3.362
254,NEUROLOGY,0028-3878,76845,8.303,8.375,2.149,530,9.5,0.11936,2.794
255,CEREB CORTEX,1047-3211,24708,8.305,8.372,2.41,268,6.3,0.07676,3.458
256,ANNU REV NUCL PART S,0163-8998,2322,6.487,8.347,1.95,20,8.1,0.00646,3.939
257,CELL DEATH DIFFER,1350-9047,15552,8.385,8.345,2.288,153,5.9,0.04351,2.886
258,PROG PHOTOVOLTAICS,1062-7995,6206,9.696,8.342,2.234,167,4.4,0.01613,2.369
259,STEM CELLS,1066-5099,20399,7.133,8.328,1.297,259,5.6,0.06148,2.784
260,PHYS LIFE REV,1571-0645,828,9.478,8.322,12.167,12,3.5,0.00274,2.778
261,ANNU REV ENV RESOUR,1543-5938,1865,5.056,8.31,0.211,19,7.1,0.00497,3.416
262,PROG SURF SCI,0079-6816,1929,4.913,8.288,0.583,12,>10.0,0.00317,3.647
263,THORAX,0040-6376,18780,8.562,8.271,2.053,169,8.3,0.03777,2.836
264,GEOCHEM PERSPECT,2223-7755,34,8.25,8.25,0.333,3,,0.00034,5.045
265,IEEE COMMUN SURV TUT,1553-877X,2002,6.49,8.202,0.8,95,4.2,0.00959,3.22
266,CURR OPIN IMMUNOL,0952-7915,8714,7.867,8.202,1.204,103,6.1,0.03193,3.735
267,MIS QUART,0276-7783,8705,5.405,8.157,1.103,58,>10.0,0.01039,2.785
268,CLIN CANCER RES,1078-0432,68311,8.193,8.101,1.665,677,6.1,0.18711,2.819
269,WORLD PSYCHIATRY,1723-8617,1459,12.846,8.093,1.25,28,4.3,0.00379,2.117
270,ANN SURG,0003-4932,38297,7.188,8.058,1.71,293,9.3,0.06601,2.787
271,AM J GASTROENTEROL,0002-9270,28995,9.213,8.048,2.592,184,7.7,0.06233,2.812
272,GLOBAL ENVIRON CHANG,0959-3780,6195,6,8.046,0.834,163,5.6,0.0166,2.544
273,INT J EPIDEMIOL,0300-5771,15985,9.197,8,2.677,133,8.2,0.03884,3.394
274,METAB ENG,1096-7176,3833,8.258,7.997,1.758,91,4.3,0.01015,2.086
275,ARTHRITIS RHEUM-US,0004-3591,46884,7.871,7.987,1.677,331,8.3,0.0897,2.67
276,ANNU REV PUBL HEALTH,0163-7525,3779,6.627,7.984,1.958,24,8.7,0.00698,3.284
277,PHILOS T R SOC B,0962-8436,29689,6.314,7.96,3.026,307,7.1,0.08509,3.259
278,OBES REV,1467-7881,6388,7.859,7.922,2.076,105,4.5,0.02105,2.568
279,PLANT PHYSIOL,0032-0889,69345,7.394,7.908,1.49,467,9.8,0.09957,2.375
280,CLIN CHEM,0009-9147,27192,7.768,7.869,2.453,150,>10.0,0.0376,2.389
